id,item_group_id,title,link,image_link,price,sale_price,availability,category,isactive,isdefault
5063056752403,TRPVIA29,Hawes & Curtis Tailored Fit Blue Semi Plain 1913 Suit Pants,http://www.hawesandcurtis.com/blue-semi-plain-italian-wool-tailored-fit-suit-pants-1913-collection-trpvia29-b01,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPVIA29-B01-204309-1400px-1820px.jpg,350.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056753325,JKPVIS21,Hawes & Curtis Slim Fit Olive Crepe 1913 Suit Jacket,http://www.hawesandcurtis.com/olive-crepe-italian-wool-slim-fit-suit-jacket-1913-collection-jkpvis21-e50,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVIS21-E50-204357-1400px-1820px.jpg,529.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056573596,JKPRHS50,Hawes & Curtis Slim Fit Charcoal Herringbone Suit Jacket,http://www.hawesandcurtis.com/charcoal-herringbone-slim-suit-jacket-jkprhs50-f30,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRHS50-F30-210850-1400px-1820px.jpg,399.00 USD,99.00 USD,in stock,Formalwear,TRUE,TRUE
5063056920970,COPNJ192,Hawes & Curtis Slim Fit Navy Twill Blazer,http://www.hawesandcurtis.com/slim-fit-navy-blazer1-copnj192-g01,https://handcmediastorage.blob.core.windows.net/productimages/CO/COPNJ192-G01-207059-1400px-1820px.jpg,429.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056919608,COPRJT04,Hawes & Curtis Slim Fit Green Blazer,http://www.hawesandcurtis.com/slim-fit-green-blazer-coprjt04-e01,https://handcmediastorage.blob.core.windows.net/productimages/CO/COPRJT04-E01-206766-1400px-1820px.jpg,519.00 USD,259.00 USD,in stock,Formalwear,TRUE,TRUE
5059090745174,TRPRAS98,Hawes & Curtis Slim Fit Black Dinner Suit Pants with Side Adjusters,http://www.hawesandcurtis.com/black-slim-dinner-suit-pants-with-side-adjusters-trpras98-a01,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPRAS98-A01-209675-1400px-1820px.jpg,280.00 USD,,in stock,Formalwear,TRUE,TRUE
5063755055409,JKPRKT57,Hawes & Curtis Tailored Fit Taupe Hopsack Linen Suit Jacket,http://www.hawesandcurtis.com/tailored-fit-taupe-hopsack-suit-jacket-jkprkt57-c50,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRKT57-C50-212706-1400px-1820px.jpg,379.00 USD,,in stock,Formalwear,TRUE,TRUE
5063755137389,TRPRKT57,Hawes & Curtis Tailored Fit Taupe Hopsack Linen Suit Pants,http://www.hawesandcurtis.com/tailored-fit-taupe-hopsack-suit-trousers-trprkt57-c50,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPRKT57-C50-212198-1400px-1820px.jpg,190.00 USD,,in stock,Formalwear,TRUE,TRUE
5063755265730,TRPVS771,Hawes & Curtis Slim Fit Navy 1913 Suit Trousers,http://www.hawesandcurtis.com/slim-fit-navy-1913-suit-trousers-trpvs771-g01,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPVS771-G01-216545-1400px-1820px.jpg,320.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056570830,TRSRUS43,Hawes & Curtis Slim Fit Charcoal Chalk Stripe Suit Pants,http://www.hawesandcurtis.com/charcoal-chalk-stripe-slim-suit-trousers-trsrus43-f30,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRSRUS43-F30-210889-1400px-1820px.jpg,260.00 USD,220.00 USD,in stock,Formalwear,TRUE,TRUE
TRPVJT93-F30V,JKPVJT932P,Hawes & Curtis Tailored Fit Charcoal Twill 1913 Suit,http://www.hawesandcurtis.com/tailored-fit-charcoal-twill-1913-suit1-jkpvjt932p-f30v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVJT932P-F30V-214168-1400px-1820px.jpg,879.00 USD,,in stock,Formalwear,TRUE,TRUE
5059090824862,JKPRAC06,Hawes & Curtis Classic Fit Light Grey Twill Suit Jacket,http://www.hawesandcurtis.com/mens-light-grey-twill-classic-fit-suit-jacket-jkprac06-f33,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRAC06-F33-203454-1400px-1820px.jpg,379.00 USD,279.00 USD,in stock,Formalwear,TRUE,TRUE
JKPRAS01-G01V,JKPRAS013P,Hawes & Curtis Slim Fit Navy Twill Suit,http://www.hawesandcurtis.com/mens-navy-twill-3-piece-slim-fit-suit-jkpras013p-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRAS013P-G01V-209426-1400px-1820px.jpg,789.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056102161,TRPRAS01,Hawes & Curtis Slim Fit Dark Blue Twill Suit Pants,http://www.hawesandcurtis.com/dark-blue-twill-slim-suit-pants-trpras01-b34,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPRAS01-B34-210777-1400px-1820px.jpg,220.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056934977,COCLJT24,Hawes & Curtis Brown Check 1913 Blazer,http://www.hawesandcurtis.com/brown-check-1913-blazer-cocljt24-c01,https://handcmediastorage.blob.core.windows.net/productimages/CO/COCLJT24-C01-206750-1400px-1820px.jpg,599.00 USD,309.00 USD,in stock,Formalwear,TRUE,TRUE
5063056089066,JKPLAA04,Hawes & Curtis Tailored Fit Black 1913 Dinner Suit Jacket,http://www.hawesandcurtis.com/mens-black-tailored-fit-dinner-suit-jacket-1913-collection-jkplaa04-a01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPLAA04-A01-211219-1400px-1820px.jpg,669.00 USD,,in stock,Formalwear,TRUE,TRUE
5063755026973,WCPLAA00,Hawes & Curtis Tailored Fit Pink 1913 Morning Waistcoat,http://www.hawesandcurtis.com/tailored-fit-pink-1913-morning-waistcoat-wcplaa00-j01,https://handcmediastorage.blob.core.windows.net/productimages/WC/WCPLAA00-J01-214712-1400px-1820px.jpg,260.00 USD,220.00 USD,in stock,Formalwear,TRUE,TRUE
