prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,2666305979,2666305979,Kurt Geiger Women's Trainers Black Combination High Rise,https://www.shoeaholics.com/women/shoes/trainers/slip-on/high-rise-black-combination-synthetic-carvela-2666305979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Heel Lift Trainer, Black","Black Heel Lift Trainer, Black",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/6/2666305979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,253,IN STOCK,,,Black,,,211,TRUE,TRUE,TRUE
Carvela,2666310979,2666310979,Carvela High Rise Trainer White Lizard Trainer,https://www.shoeaholics.com/women/shoes/trainers/slip-on/high-rise-white-synthetic-carvela-2666310979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Lizard Trainer, White","White Lizard Trainer, White",89.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/6/2666310979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,326,IN STOCK,,,White,,,110,TRUE,TRUE,TRUE
Carvela,2666318979,2666318979,Carvela Women's Trainers Winter White Synthetic High Rise,https://www.shoeaholics.com/women/shoes/trainers/slip-on/high-rise-winter-white-synthetic-carvela-2666318979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela High Rise Trainer """", 4 Uk, Winter White","Womens Carvela High Rise Trainer """", 4 Uk, Winter White",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/6/2666318979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,20,IN STOCK,,,White,,,1390,TRUE,TRUE,TRUE
Carvela,3668700979,3668700979,Carvela Women's Loafer Black Synthetic Manor,https://www.shoeaholics.com/women/shoes/flats/manor-black-synthetic-carvela-3668700979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Patent Loafer, Black","Black Patent Loafer, Black",49.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/6/3668700979.jpg?v=1&width=800,(Uncategorized),(Uncategorized),01/09/2026,,FALSE,,61,IN STOCK,,,Black,,,922,TRUE,TRUE,TRUE
Carvela,2380261979,2380261979,Kurt Geiger Women's Trainers Gold Synthetic Daze Jewel,https://www.shoeaholics.com/women/shoes/trainers/slip-on/daze-jewel-gold-synthetic-carvela-2380261979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Crystal Lace Up Trainer, Gold","Gold Crystal Lace Up Trainer, Gold",69.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/3/2380261979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,224,IN STOCK,,,Metallic,,,283,TRUE,TRUE,TRUE
Carvela,1860161569,1860161569,Carvela Women's Trainer Gold Snake Diamond,https://www.shoeaholics.com/women/shoes/trainers/slip-on/diamond-gold-snake-carvela-1860161569?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Snake Print Trainer, Gold","Gold Snake Print Trainer, Gold",69.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/1/8/1860161569.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,58,IN STOCK,,,Metallic,,,942,TRUE,TRUE,TRUE
Carvela Comfort,2761333109,2761333109,Carvela Women's Heels Tan Leather Krill,https://www.shoeaholics.com/women/shoes/heels/block-heels/krill-tan-leather-carvela-comfort-2761333109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Tan Leather Heels, Tan","Tan Leather Heels, Tan",119.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/7/2761333109.jpg?v=1&width=800,(Uncategorized),(Uncategorized),01/09/2026,,FALSE,,183,IN STOCK,,,Tan,,,392,TRUE,TRUE,TRUE
Carvela,1859600109,1859600109,Carvela Women's Trainers Black Leather Connected Zip,https://www.shoeaholics.com/women/shoes/trainers/slip-on/connected-zip-black-leather-carvela-1859600109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Trainers, Black","Black Leather Trainers, Black",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/1/8/1859600109.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,358,IN STOCK,,,Black,,,91,TRUE,TRUE,TRUE
Kg Kurt Geiger,3847800069,3847800069,KG Kurt Geiger Women's Heels Black Fabric Fleur,https://www.shoeaholics.com/women/shoes/heels/high-heels/fleur-platform-black-fabric-other-kg-kurt-geiger-3847800069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Fleur Platform Heel """", 7 Uk, Black","Womens Kg Kurt Geiger Fleur Platform Heel """", 7 Uk, Black",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3847800069.jpg?v=1&width=800,(Uncategorized),(Uncategorized),01/09/2026,,FALSE,,152,IN STOCK,,,Black,,,500,TRUE,TRUE,TRUE
Carvela,1059205979,1059205979,Carvela Women's Boot Black Combination Synthetic Tempt,https://www.shoeaholics.com/women/shoes/boots/ankle/tempt-black-combination-synthetic-carvela-1059205979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Ankle Boot, Black","Black Ankle Boot, Black",119.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/1/0/1059205979.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,100,IN STOCK,,,Black,,,716,TRUE,TRUE,TRUE
Carvela,1859600209,1859600209,Carvela Connected Zip Trainer,https://www.shoeaholics.com/women/shoes/trainers/slip-on/connected-zip-black-suede-carvela-1859600209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Connected Zip Trainer """", 4 Uk, Black","Womens Carvela Connected Zip Trainer """", 4 Uk, Black",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/1/8/1859600209.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,185,IN STOCK,,,Black,,,384,TRUE,TRUE,TRUE
