prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,3417135289,3417135289,3417135289,Kurt Geiger Women's Flats Dark Brown Suede Chelsea,https://www.shoeaholics.com/women/shoes/flats/chelsea-point-slip-on-dark-brown-combination-suede-other-print-kurt-geiger-london-3417135289?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Chelsea Point Slip On Flat """", 3 Uk, Dark Brown Combination","Womens Kurt Geiger London Chelsea Point Slip On Flat """", 3 Uk, Dark Brown Combination",59.00,189.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/4/3417135289.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,10,IN STOCK,,,Brown,,,128,TRUE,TRUE,TRUE
Carvela,5149705109,5149705109,5149705109,Carvela Women's Flats Black Combination Synthetic Snap Chunky,https://www.shoeaholics.com/women/shoes/flats/snap-chunky-black-combination-leather-carvela-5149705109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Patent Black Loafer, Black","Patent Black Loafer, Black",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5149705109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,76,IN STOCK,,,Black,,,70,TRUE,TRUE,TRUE
Steve Madden,4924140449,4924140449,4924140449,Steve Madden Women's Flats Beige Raffia Alara,https://www.shoeaholics.com/women/shoes/flats/alara-380-beige-raffia-steve-madden-4924140449?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Alara Flat """", 8 Uk, Beige","Womens Steve Madden Alara Flat """", 8 Uk, Beige",89.00,130.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/9/4924140449.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,38,IN STOCK,,,Nude,,,85,TRUE,TRUE,TRUE
Kurt Geiger London,5259900109,5259900109,5259900109,Kurt Geiger Women's Loafers Black Leather Kingsley,https://www.shoeaholics.com/women/shoes/flats/kingsley-heel-loafer-black-leather-kurt-geiger-london-5259900109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Block Heeled Loafer, Black","Black Leather Block Heeled Loafer, Black",109.00,189.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5259900109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,114,IN STOCK,,,Black,,,54,TRUE,TRUE,TRUE
Carvela,5149700109,5149700109,5149700109,Carvela Women's Loafers Black Leather Snap,https://www.shoeaholics.com/women/shoes/flats/snap-chunky-black-leather-carvela-5149700109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Slip On Loafer, Black","Black Leather Slip On Loafer, Black",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5149700109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,166,IN STOCK,,,Black,,,37,TRUE,TRUE,TRUE
Steve Madden,5141400109,5141400109,5141400109,Steve Madden Leni Black Patent,https://www.shoeaholics.com/women/shoes/flats/leni-184-black-leather-steve-madden-5141400109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Leni Black Patent """", 5 Uk, Black","Womens Steve Madden Leni Black Patent """", 5 Uk, Black",99.00,120.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5141400109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,35,IN STOCK,,,Black,,,86,TRUE,TRUE,TRUE
Carvela,5008100979,5008100979,5008100979,Carvela Women's Formal Black Brogue Strada,https://www.shoeaholics.com/women/shoes/flats/strada-brogue-black-synthetic-carvela-5008100979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Formal Brogue, Black","Formal Brogue, Black",49.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5008100979.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,22,IN STOCK,,,Black,,,103,TRUE,TRUE,TRUE
Carvela,5150030209,5150030209,5150030209,Kurt Geiger Women's Sandals Brown Suede Noto Loafer,https://www.shoeaholics.com/women/shoes/flats/noto-loafer-brown-suede-carvela-5150030209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Suede Slip On Loafer, Brown","Brown Suede Slip On Loafer, Brown",79.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5150030209.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,141,IN STOCK,,,Brown,,,43,TRUE,TRUE,TRUE
Kurt Geiger London,4369500609,4369500609,4369500609,Kurt Geiger Women's Flats Black Fabric Moccasin,https://www.shoeaholics.com/women/shoes/flats/pom-pom-moccasin-black-fabric-kurt-geiger-london-4369500609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Pom Pom Moccasin """", 3 Uk, Black","Womens Kurt Geiger London Pom Pom Moccasin """", 3 Uk, Black",59.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/3/4369500609.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,12,IN STOCK,,,Black,,,123,TRUE,TRUE,TRUE
Carvela,0858609309,0858609309,0858609309,Carvela Women's Flats Black Other Synthetic Sky Tassel,https://www.shoeaholics.com/women/shoes/flats/sky-tassel-black-other-patent-carvela-0858609309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,Patent Black Flats,Patent Black Flats,69.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/0/8/0858609309.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,115,IN STOCK,,,,,,52,TRUE,TRUE,TRUE
